Welcome.started,Welcome.stopped,keyboard_space_welcome.keys,keyboard_space_welcome.rt,keyboard_space_welcome.duration,participant,gender,(corrected) normal vision,handedness,exp vse,session,skip_intro,date,expName,psychopyVersion,OS,frameRate,stimulus_exposure.started,stimulus_exposure.stopped,Block_intro.started,Block_intro.stopped,keyboard_space.keys,keyboard_space.rt,keyboard_space.duration,Stimulus.started,Stimulus.stopped,fixation_ending.started,fixation_ending.stopped,block_id,keyboard_response.keys,keyboard_response.corr,keyboard_response.rt,keyboard_response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_presence,target_position,background_emotion,target_emotion,Block_outro.started,Block_outro.stopped,keyboard_space_end.keys,keyboard_space_end.rt,keyboard_space_end.duration,Question_about_stimulus.started,Question_about_stimulus.stopped,textbox_response.text,button.numClicks,button.timesOn,button.timesOff,Thanks.started,Thanks.stopped,keyboard_space_goodbye.keys,keyboard_space_goodbye.rt,keyboard_space_goodbye.duration
0,20.506,space,20.431,,552569,m,y,r,n,11,0,2025-04-03_11h34.04.162,VisualSearchFaces,2024.2.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,552569,m,y,r,n,11,0,2025-04-03_11h34.04.162,VisualSearchFaces,2024.2.4,Win32,59.95203837,41.62,44.634,44.648,69.504,space,24.837,,70.499,70.765,70.765,72.764,practice1,f,0,0.685,,0,0,0,2,1,1,top_right,neutral,friendly,,,,,,,,,,,,,,,,
,,,,,552569,m,y,r,n,11,0,2025-04-03_11h34.04.162,VisualSearchFaces,2024.2.4,Win32,59.95203837,,,,,,,,73.766,74.033,74.033,76.031,practice1,f,1,0.563,,0,1,1,27,1,0,top_right,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,552569,m,y,r,n,11,0,2025-04-03_11h34.04.162,VisualSearchFaces,2024.2.4,Win32,59.95203837,,,,,,,,77.033,77.298,77.298,79.297,practice1,j,1,0.871,,0,2,2,17,1,1,top_right,threatening,neutral,,,,,,,,,,,,,,,,
,,,,,552569,m,y,r,n,11,0,2025-04-03_11h34.04.162,VisualSearchFaces,2024.2.4,Win32,59.95203837,,,,,,,,80.298,80.563,80.563,82.563,practice1,f,1,0.366,,0,3,3,33,1,0,bottom_left,friendly,no_target,,,,,,,,,,,,,,,,
,,,,,552569,m,y,r,n,11,0,2025-04-03_11h34.04.162,VisualSearchFaces,2024.2.4,Win32,59.95203837,,,,,,,,83.564,83.829,83.829,85.829,practice1,f,1,0.618,,0,4,4,29,1,0,bottom_right,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,552569,m,y,r,n,11,0,2025-04-03_11h34.04.162,VisualSearchFaces,2024.2.4,Win32,59.95203837,,,,,,,,86.831,87.098,87.098,89.096,practice1,j,1,0.386,,0,5,5,19,1,1,bottom_right,threatening,neutral,,,,,,,,,,,,,,,,
,,,,,552569,m,y,r,n,11,0,2025-04-03_11h34.04.162,VisualSearchFaces,2024.2.4,Win32,59.95203837,,,,,,,,90.097,90.347,90.347,92.345,practice1,j,1,0.527,,0,6,6,13,1,1,bottom_left,friendly,neutral,,,,,,,,,,,,,,,,
,,,,,552569,m,y,r,n,11,0,2025-04-03_11h34.04.162,VisualSearchFaces,2024.2.4,Win32,59.95203837,,,,,,,,93.354,93.613,93.613,95.612,practice1,f,1,0.634,,0,7,7,32,1,0,top_right,friendly,no_target,,,,,,,,,,,,,,,,
,,,,,552569,m,y,r,n,11,0,2025-04-03_11h34.04.162,VisualSearchFaces,2024.2.4,Win32,59.95203837,,,,,,,,96.614,96.868,96.868,98.861,practice1,j,1,0.962,,0,8,8,16,1,1,top_left,threatening,neutral,,,,,,,,,,,,,,,,
