Welcome.started,Welcome.stopped,keyboard_space_welcome.keys,keyboard_space_welcome.rt,keyboard_space_welcome.duration,participant,gender,(corrected) normal vision,handedness,exp vse,session,skip_intro,date,expName,psychopyVersion,OS,frameRate,stimulus_exposure.started,stimulus_exposure.stopped,Block_intro.started,Block_intro.stopped,keyboard_space.keys,keyboard_space.rt,keyboard_space.duration,Stimulus.started,Stimulus.stopped,fixation_ending.started,fixation_ending.stopped,block_id,keyboard_response.keys,keyboard_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_presence,target_position,background_emotion,target_emotion,keyboard_response.rt,keyboard_response.duration,Block_outro.started,Block_outro.stopped,keyboard_space_end.keys,keyboard_space_end.rt,keyboard_space_end.duration,Question_about_stimulus.started,Question_about_stimulus.stopped,textbox_response.text,button.numClicks,button.timesOn,button.timesOff,Thanks.started,Thanks.stopped,keyboard_space_goodbye.keys,keyboard_space_goodbye.rt,keyboard_space_goodbye.duration
0.001,55.8143,space,55.6765,,613484,m,y,r,n,12,0,2025-04-05_20h49.04.380,VisualSearchFaces,2024.2.4,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,613484,m,y,r,n,12,0,2025-04-05_20h49.04.380,VisualSearchFaces,2024.2.4,Win32,58.82352941,76.9663,79.9779,79.9995,121.1559,space,41.109,,122.1617,122.4225,122.4229,124.4235,practice1,,0,0,0,0,9,1,1,bottom_right,neutral,threatening,,,,,,,,,,,,,,,,,,
,,,,,613484,m,y,r,n,12,0,2025-04-05_20h49.04.380,VisualSearchFaces,2024.2.4,Win32,58.82352941,,,,,,,,125.4242,125.6876,125.6877,127.6878,practice1,j,1,0,1,1,3,1,1,bottom_left,neutral,friendly,0.8383,,,,,,,,,,,,,,,,,
,,,,,613484,m,y,r,n,12,0,2025-04-05_20h49.04.380,VisualSearchFaces,2024.2.4,Win32,58.82352941,,,,,,,,128.6926,128.9547,128.9548,130.9544,practice1,j,1,0,2,2,16,1,1,top_left,threatening,neutral,1.3044,,,,,,,,,,,,,,,,,
,,,,,613484,m,y,r,n,12,0,2025-04-05_20h49.04.380,VisualSearchFaces,2024.2.4,Win32,58.82352941,,,,,,,,131.9591,132.2044,132.2045,134.2041,practice1,j,1,0,3,3,18,1,1,bottom_left,threatening,neutral,0.8214,,,,,,,,,,,,,,,,,
,,,,,613484,m,y,r,n,12,0,2025-04-05_20h49.04.380,VisualSearchFaces,2024.2.4,Win32,58.82352941,,,,,,,,135.2096,135.4705,135.4705,137.4703,practice1,j,1,0,4,4,6,1,1,top_left,neutral,threatening,0.6983,,,,,,,,,,,,,,,,,
,,,,,613484,m,y,r,n,12,0,2025-04-05_20h49.04.380,VisualSearchFaces,2024.2.4,Win32,58.82352941,,,,,,,,138.475,138.7368,138.7369,140.7362,practice1,j,1,0,5,5,1,1,1,top_left,neutral,friendly,0.4672,,,,,,,,,,,,,,,,,
,,,,,613484,m,y,r,n,12,0,2025-04-05_20h49.04.380,VisualSearchFaces,2024.2.4,Win32,58.82352941,,,,,,,,141.7423,141.9865,141.9866,143.9862,practice1,f,1,0,6,6,28,1,0,bottom_left,neutral,no_target,0.9507,,,,,,,,,,,,,,,,,
,,,,,613484,m,y,r,n,12,0,2025-04-05_20h49.04.380,VisualSearchFaces,2024.2.4,Win32,58.82352941,,,,,,,,144.9924,145.2365,145.2366,147.236,practice1,j,1,0,7,7,19,1,1,bottom_right,threatening,neutral,0.745,,,,,,,,,,,,,,,,,
,,,,,613484,m,y,r,n,12,0,2025-04-05_20h49.04.380,VisualSearchFaces,2024.2.4,Win32,58.82352941,,,,,,,,148.2405,148.5022,148.5023,150.502,practice1,f,1,0,8,8,37,1,0,top_right,threatening,no_target,1.6336,,,,,,,,,,,,,,,,,
